id;nom_entreprise;nom_poste;date_experience;description_experience
1;Frozen;Investment Picardie Home;2022-02-27T22:51:24;Maroc Bourgogne Gambie
2;cutting-edge;circuit Table Account;2022-02-27T12:40:12;Kwacha Peso
3;la bypassing withdrawal;bandwidth parse;2022-02-27T15:43:17;Cambridgeshire Rubber Kip
4;Ouguiya back-end Paris;Plastic;2022-02-28T06:31:17;distributed
5;Berkshire Frozen;compress open-source primary;2022-02-28T05:22:09;AI Auto Generic
6;Account;a auxiliary structure;2022-02-27T11:37:03;b Card Account
7;engineer;Steel;2022-02-27T10:17:52;tolerance
8;Manager transmitting Jordan;Chicken Venezuela;2022-02-27T22:59:03;system
9;infomediaries overriding;Wooden;2022-02-27T12:41:07;web-readiness b e-business
10;Shoes revolutionize;a platforms relationships;2022-02-28T02:45:49;Buckinghamshire b Awesome
